frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
224,0.39826446771621704,[644.4951171875 480.5992431640625 731.2691650390625 508.303466796875],0.0,[644.4951171875 480.5992431640625 731.2691650390625 508.303466796875],0.0,KA02HH1826,0.12139429718391784
265,0.5579810738563538,[8.87078857421875 626.3370361328125 144.62542724609375 670.7088623046875],0.0,[8.87078857421875 626.3370361328125 144.62542724609375 670.7088623046875],0.0,KA02HN1828,0.422440574832519
266,0.5579566955566406,[8.867462158203125 626.337158203125 144.62835693359375 670.708740234375],0.0,[8.867462158203125 626.337158203125 144.62835693359375 670.708740234375],0.0,KA02HN1828,0.422440574832519
